,city,Lat,Lng,temp,hum,pres,cloud,wind,country,date
154,georgetown,38.9076089,-77.07225849999999,90.54,40.0,1015.0,20.0,8.05,US,1596017216.0
155,santa maria la alta,18.6089475,-97.6534547,72.0,71.0,1018.0,88.0,5.01,MX,1596024434.0
156,saldanha,-33.0276981,17.9176312,59.0,77.0,1023.0,0.0,4.7,ZA,1596001266.0
157,ponta do sol,32.6854883,-17.0864266,71.08,60.0,1016.0,40.0,11.41,PT,1596003628.0
158,bubaque,11.283333,-15.833333,79.41,82.0,1010.0,94.0,20.8,GW,1596005440.0
159,roald,38.611777,-122.8703331,62.85,87.0,1014.0,90.0,4.29,US,1596028257.0
160,poronaysk,49.2213887,143.1001742,58.48,89.0,1010.0,0.0,2.13,RU,1596049009.0
161,muros,42.8073676,-9.0460525,81.0,61.0,1010.0,0.0,3.0,ES,1596000282.0
162,kargasok,59.0535405,80.8770602,56.61,74.0,1008.0,97.0,9.4,RU,1596061157.0
163,bukama,-9.1522423,25.8285153,73.35,29.0,1013.0,0.0,2.89,CD,1595997117.0
164,tiksi,71.63748199999999,128.8644716,40.17,85.0,1021.0,98.0,6.44,RU,0.0
165,yulara,-25.2334936,130.9848698,42.8,33.0,1023.0,0.0,4.7,AU,1596059686.0
166,muisne,0.6116136999999999,-80.02065499999999,84.2,79.0,1012.0,40.0,6.93,EC,1596021726.0
167,ginda,42.02533280000001,-88.0795237,84.9,58.0,1014.0,1.0,5.82,US,1596019389.0
168,yellowknife,62.4539717,-114.3717887,68.68,56.0,1012.0,40.0,8.05,CA,1596020007.0
169,manado,1.4748305,124.8420794,75.2,94.0,1008.0,40.0,5.08,ID,1596058891.0
170,kaitangata,-46.2859133,169.846066,48.0,82.0,1022.0,100.0,3.0,NZ,1596053014.0
171,padang,-0.9470831999999999,100.417181,75.49,77.0,1011.0,89.0,3.69,ID,1596064945.0
172,szabadszallas,46.8763076,19.2232539,83.77,61.0,1016.0,20.0,9.17,HU,1595992766.0
173,sibolga,1.7368371,98.78511209999999,75.54,71.0,1011.0,100.0,4.94,ID,1596065121.0
174,muzhi,65.40260099999999,64.7059967,51.42,80.0,1013.0,54.0,4.34,RU,1595975051.0
175,ilo,38.91139099999999,-77.065219,90.54,40.0,1015.0,20.0,8.05,US,1596017216.0
176,santiago de cuba,20.01693,-75.8301537,89.6,66.0,1015.0,40.0,10.29,CU,1596019065.0
177,grand gaube,-20.014212,57.6694082,72.0,77.0,1021.0,20.0,5.99,MU,1595990413.0
178,pahrump,36.2082943,-115.9839147,95.29,9.0,1006.0,0.0,4.0,US,1596026931.0
179,richards bay,-28.7807276,32.0382856,64.13,90.0,1020.0,5.0,4.88,ZA,1595997414.0
180,qaqortoq,60.71898640000001,-46.03534579999999,57.2,71.0,1012.0,75.0,10.29,GL,1596004427.0
181,gizo,-8.1058258,156.8349986,82.27,75.0,1008.0,2.0,7.2,SB,1596051985.0
182,kahului,20.8893351,-156.4729469,75.0,69.0,1017.0,40.0,8.05,US,1596038342.0
183,tarudant,30.4727126,-8.8748765,82.4,54.0,1008.0,1.0,11.41,MA,1596001914.0
184,castro,37.7609082,-122.4350043,57.67,72.0,1014.0,40.0,11.41,US,1596028273.0
185,port hedland,-20.3839142,118.6483796,57.2,62.0,1017.0,0.0,8.05,AU,1596062190.0
186,chastoozerye,55.5718334,67.9139661,52.9,63.0,1015.0,45.0,4.47,RU,1595978957.0
187,korla,41.725891,86.17463300000001,84.99,61.0,991.0,60.0,4.0,CN,1596064047.0
188,pevek,69.7029321,170.307033,36.05,90.0,1010.0,89.0,4.92,RU,1596031106.0
189,tiarei,-17.5391608,-149.3714069,78.4,74.0,1011.0,75.0,18.34,PF,1596039868.0
190,lichinga,-13.3023564,35.2478112,59.23,72.0,1019.0,66.0,2.98,MZ,1595995204.0
191,macaboboni,16.1952956,119.7802409,78.17,87.0,1004.0,100.0,6.29,PH,1596058876.0
192,shingu,33.7241203,135.9924819,76.24,89.0,1014.0,85.0,3.0,JP,1596053188.0
193,dingle,52.14093889999999,-10.2640135,62.6,88.0,1013.0,90.0,9.17,IE,1595998692.0
194,longyearbyen,78.22317220000001,15.6267229,57.2,71.0,1017.0,77.0,10.29,SJ,0.0
195,saint george,37.0965278,-113.5684164,94.03,11.0,1008.0,0.0,1.48,US,1596026233.0
196,russell,38.8952893,-98.8598061,82.4,69.0,1013.0,40.0,3.36,US,1596022450.0
197,bathsheba,37.676748,-97.26482,78.44,88.0,1013.0,75.0,5.82,US,1596022237.0
198,sur,34.0812288,-118.3853088,71.28,77.0,1014.0,75.0,6.93,US,1596027782.0
199,rio claro,-22.4149023,-47.5651394,80.6,47.0,1020.0,47.0,5.82,BR,1596015884.0
200,bol,39.6422735,-106.3751831,66.06,41.0,1037.0,1.0,13.87,US,1596024149.0
201,chake chake,-5.2505483,39.7807076,75.52,82.0,1016.0,3.0,14.14,TZ,1595993450.0
202,wattegama,7.3491464,80.6853986,69.03,91.0,1008.0,69.0,5.48,LK,1595982603.0
203,yacuiba,-22.0227557,-63.6775234,59.0,51.0,1027.0,90.0,5.82,BO,1596019713.0
204,general roca,-39.032803,-67.5892227,48.2,57.0,1022.0,59.0,2.24,AR,1596022521.0
205,codrington,17.6425736,-61.8204456,78.8,88.0,1010.0,75.0,12.75,AG,1596015922.0
206,baruun-urt,46.6652838,113.2876804,62.92,77.0,1006.0,27.0,1.86,MN,1596056683.0
207,hobbs,37.1557452,-95.59678029999999,76.3,94.0,1013.0,75.0,6.93,US,1596021910.0
208,prestea,5.437319899999999,-2.1401139,77.23,76.0,1011.0,85.0,6.44,GH,1596002642.0
209,katsuura,35.1522272,140.3208833,70.45,100.0,1016.0,75.0,1.12,JP,1596051970.0
210,tugulym,57.0592288,64.6411772,59.0,72.0,1013.0,91.0,4.47,RU,1595979260.0
211,sentyabrskiy,60.49545690000001,72.2080598,49.77,93.0,1012.0,79.0,3.24,RU,1595976099.0
212,saleaula,-13.4482906,-172.3367114,75.0,94.0,1009.0,51.0,8.01,WS,1596131411.0
213,los llanos de aridane,28.6183515,-17.8998566,76.55,57.0,1015.0,20.0,13.87,ES,1596004289.0
214,adrar,28.0174403,-0.2642497,113.0,8.0,1007.0,47.0,9.17,DZ,1596000119.0
215,ixtapa,17.6625661,-101.58734,86.0,74.0,1013.0,75.0,3.36,MX,1596025467.0
216,boda,43.6533285,-70.26659099999999,85.77,43.0,1012.0,20.0,12.75,US,1596014846.0
217,marawi,8.0106213,124.297718,75.0,95.0,1008.0,100.0,5.01,PH,1596058489.0
218,kinshasa,-4.4419311,15.2662931,85.05,51.0,1012.0,20.0,9.17,CD,1595999266.0
219,la libertad,13.490697,-89.3084607,85.91,52.0,1012.0,20.0,4.7,SV,1596022888.0
220,le port,-20.9456859,55.295055,66.47,77.0,1021.0,90.0,8.05,RE,1595991067.0
221,souillac,44.893626,1.478613,89.01,37.0,1015.0,0.0,1.01,FR,1595997397.0
222,alta floresta,-9.8672231,-56.0870033,95.13,19.0,1012.0,0.0,7.56,BR,1596016835.0
223,petatlan,17.5390397,-101.2701934,86.0,74.0,1013.0,75.0,3.36,MX,1596025401.0
224,lagunas,-4.6681951,-75.9927652,88.12,56.0,1011.0,6.0,3.36,PE,1596021185.0
225,nome,30.03577,-94.42435719999999,90.14,59.0,1017.0,40.0,8.05,US,1596022504.0
226,kalakamati,-20.633333,27.3,66.2,34.0,1023.0,0.0,5.82,BW,1595997756.0
227,west wendover,40.739097,-114.073345,82.4,32.0,1021.0,1.0,4.7,US,1596025831.0
228,benito soliven,16.9347472,121.9245556,74.16,96.0,1005.0,98.0,0.78,PH,1596058297.0
230,novikovo,46.363217,143.3583363,61.2,94.0,1013.0,5.0,9.86,RU,1596049519.0
231,saint-augustin,51.2327688,-58.65154440000001,65.82,57.0,1014.0,0.0,11.52,CA,1596010539.0
232,baillif,16.0301297,-61.7414904,82.4,83.0,1009.0,100.0,13.87,GP,1596016047.0
233,walvis bay,-22.9584081,14.5057511,61.92,63.0,1017.0,0.0,5.82,NA,1596001041.0
234,mayumba,-3.4426092,10.6562606,72.9,81.0,1013.0,80.0,9.62,GA,1596000291.0
235,rungata,-1.3493599,176.445007,81.68,74.0,1008.0,55.0,14.97,KI,1596046731.0
236,cozumel,20.4229839,-86.9223432,89.29,59.0,1017.0,75.0,10.29,MX,1596021690.0
237,igrim,63.1967494,64.4226214,52.3,61.0,1013.0,60.0,2.98,RU,1595976594.0
238,pisco,38.9039822,-77.0426401,90.75,40.0,1015.0,20.0,8.05,US,1596017210.0
239,montauban,44.0221252,1.3529599,86.41,48.0,1016.0,24.0,8.05,FR,1595997581.0
240,oranjemund,-28.5597111,16.4346979,56.07,79.0,1021.0,0.0,14.65,NA,1596001136.0
241,boyuibe,-20.4413004,-63.27982249999999,63.59,28.0,1022.0,61.0,7.16,BO,1596019471.0
242,nanortalik,60.1424955,-45.2394951,47.14,91.0,1012.0,100.0,8.79,GL,1596004491.0
243,bengkulu,-3.792845099999999,102.2607641,74.71,91.0,1012.0,50.0,5.95,ID,1596064731.0
244,flinders,41.05471730000001,-73.5407915,84.83,61.0,1014.0,40.0,11.41,US,1596016050.0
245,kodiak,57.79000000000001,-152.4072221,57.2,71.0,1019.0,1.0,4.7,US,1596031170.0
246,nuuk,64.18140989999999,-51.6941381,46.2,100.0,1012.0,90.0,4.7,GL,1596003917.0
247,ranfurly,-45.1301244,170.100422,39.99,93.0,1026.0,94.0,4.54,NZ,1596052759.0
